,class,wiki_intro
0,antelope,"An antelope is a member of a number of even-toed ungulate species indigenous to various regions in Africa and Eurasia. Antelopes comprise a wastebasket taxon (miscellaneous group) within the family Bovidae, encompassing those Old World species that are not cattle, sheep, buffalo, bison, or goats; even so, antelope are generally more deer-like than other bovids. A group of antelope is called a herd.

"
1,grizzly bear,"The grizzly bear (Ursus arctos ssp.) is a large population of the brown bear inhabiting North America. Scientists generally do not use the name grizzly bear but call it the North American brown bear.
Multiple morphological forms sometimes recognized as subspecies exist, including the mainland grizzly (Ursus arctos horribilis), Kodiak bear (U. a. middendorffi), peninsular grizzly (U. a. gyas), and the recently extinct California grizzly (U. a. californicus†) and Mexican grizzly bear (U. a. nelsoni†). On average bears near the coast tend to be larger while inland grizzlies tend to be smaller.
The Ussuri brown bear (U. a. lasiotus) inhabiting Russia, Northern China, Japan and Korea is sometimes referred to as the black grizzly, although it is a different subspecies from the bears in America."
2,killer whale,"The killer whale or orca (Orcinus orca) is a toothed whale belonging to the oceanic dolphin family, of which it is the largest member. Killer whales have a diverse diet, although individual populations often specialize in particular types of prey. Some feed exclusively on fish, while others hunt marine mammals such as seals and other species of dolphin. They have been known to attack baleen whale calves, and even adult whales. Killer whales are apex predators, as no animal preys on them.  A cosmopolitan species, they can be found in each of the world's oceans in a variety of marine environments, from Arctic and Antarctic regions to tropical seas, absent only from the Baltic and Black seas, and some areas of the Arctic Ocean.
Killer whales are highly social; some populations are composed of matrilineal family groups (pods) which are the most stable of any animal species. Their sophisticated hunting techniques and vocal behaviours, which are often specific to a particular group and passed across generations, have been described as manifestations of animal culture.
The International Union for Conservation of Nature assesses the orca's conservation status as data deficient because of the likelihood that two or more killer whale types are separate species. Some local populations are considered threatened or endangered due to prey depletion, habitat loss, pollution (by PCBs), capture for marine mammal parks, and conflicts with human fisheries. In late 2005, the southern resident killer whales, which swim in British Columbia and Washington state waters, were placed on the U.S. Endangered Species list.
Wild killer whales are not considered a threat to humans, but there have been cases of captive orcas killing or injuring their handlers at marine theme parks. Killer whales feature strongly in the mythologies of indigenous cultures, with their reputation ranging from being the souls of humans to merciless killers."
3,beaver,"The beaver (genus Castor) is a large, primarily nocturnal, semiaquatic rodent. Castor includes two extant species, the North American beaver (Castor canadensis) (native to North America) and Eurasian beaver (Castor fiber) (Eurasia). Beavers are known for building dams, canals, and lodges (homes). They are the second-largest rodent in the world (after the capybara). Their colonies create one or more dams to provide still, deep water to protect against predators, and to float food and building material. The North American beaver population was once more than 60 million, but as of 1988 was 6–12 million. This population decline is the result of extensive hunting for fur, for glands used as medicine and perfume, and because the beavers' harvesting of trees and flooding of waterways may interfere with other land uses.

"
4,dalmatian,"Dalmatia (; Croatian: Dalmacija [dǎlmaːtsija]; Italian: Dalmazia; see names in other languages) is one of the four historical regions of Croatia, alongside Croatia proper, Slavonia, and Istria.
Dalmatia is a narrow belt of the east shore of the Adriatic Sea, stretching from the island of Rab in the north to the Bay of Kotor in the south. The hinterland (Dalmatian Zagora) ranges in width from fifty kilometres in the north, to just a few kilometres in the south; it is mostly covered by the rugged Dinaric Mountains. Seventy-nine islands (and about 500 islets) run parallel to the coast, the largest (in Dalmatia) being Brač, Pag, and Hvar. The largest city is Split, followed by Zadar, Dubrovnik, and Šibenik.
The name of the region stems from an Illyrian tribe called the Dalmatae, who lived in the area in classical antiquity. Later it became a Roman province, and as result a Romance culture emerged, along with the now-extinct Dalmatian language, later largely replaced with related Venetian. With the arrival of Croats to the area in the 8th century, who occupied most of the hinterland, Croatian and Romance elements began to intermix in language and culture. During the Middle Ages, its cities were often conquered by, or switched allegiance to, the kingdoms of the region. The longest-lasting rule was the one of the Republic of Venice, which controlled most of Dalmatia between 1420 and 1797, with the exception of the small but stable Republic of Ragusa (1358–1808) in the south. Between 1815 and 1918, it was a province of the Austrian Empire known as the Kingdom of Dalmatia. After the Austro-Hungarian defeat in the First World War, Dalmatia was split between the Kingdom of Serbs, Croats, and Slovenes which controlled most of it, and the Kingdom of Italy which held several smaller parts, and after World War II, SFR Yugoslavia took complete control over the area."
5,persian cat,"The Persian cat (Persian: گربه ایرانی‎, translit. Gorbe Irâni) is a long-haired breed of cat characterized by its round face and short muzzle. It is also known as the ""Persian Longhair"" in the English-speaking countries. In the Middle East region they are widely known as ""Iranian cat"" and in Iran they are known as ""Shirazi cat"". The first documented ancestors of the Persian were imported into Italy from Iran (historically known as Persia) around 1620. The exact history of the Persian cat does seem to be a bit of a mystery but many of these long-haired cats were seen in hieroglyphics. The story has it that these long-haired cats were then imported into Europe as their popularity grew and breeding took place in Italy and France.
The Persian cat was first presented at the world's first organised cat show in 1871 in London, England, before making its way to the United States of America in the early 1900s. The Persian cat breeding standards have always called for a cat with a short face, but it's important to note that the Persian cat originally had a much longer nose than the flat-faced Persians of today. Hereditary polycystic kidney disease is prevalent in the breed, affecting almost half the population in some countries.In 2015 it was ranked as the 2nd most popular breed in the United States according to the Cat Fanciers' Association. The first is the Exotic breed."
6,horse,"The horse (Equus ferus caballus) is one of two extant subspecies of Equus ferus. It is an odd-toed ungulate mammal belonging to the taxonomic family Equidae. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the large, single-toed animal of today. Humans began domesticating horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC. Horses in the subspecies caballus are domesticated, although some domesticated populations live in the wild as feral horses. These feral populations are not true wild horses, as this term is used to describe horses that have never been domesticated, such as the endangered Przewalski's horse, a separate subspecies, and the only remaining true wild horse. There is an extensive, specialized vocabulary used to describe equine-related concepts, covering everything from anatomy to life stages, size, colors, markings, breeds, locomotion, and behavior.
Horses' anatomy enables them to make use of speed to escape predators and they have a well-developed sense of balance and a strong fight-or-flight response. Related to this need to flee from predators in the wild is an unusual trait: horses are able to sleep both standing up and lying down, with younger horses tending to sleep significantly more than adults. Female horses, called mares, carry their young for approximately 11 months, and a young horse, called a foal, can stand and run shortly following birth. Most domesticated horses begin training under saddle or in harness between the ages of two and four. They reach full adult development by age five, and have an average lifespan of between 25 and 30 years.
Horse breeds are loosely divided into three categories based on general temperament: spirited ""hot bloods"" with speed and endurance; ""cold bloods"", such as draft horses and some ponies, suitable for slow, heavy work; and ""warmbloods"", developed from crosses between hot bloods and cold bloods, often focusing on creating breeds for specific riding purposes, particularly in Europe. There are more than 300 breeds of horse in the world today, developed for many different uses.
Horses and humans interact in a wide variety of sport competitions and non-competitive recreational pursuits, as well as in working activities such as police work, agriculture, entertainment, and therapy. Horses were historically used in warfare, from which a wide variety of riding and driving techniques developed, using many different styles of equipment and methods of control. Many products are derived from horses, including meat, milk, hide, hair, bone, and pharmaceuticals extracted from the urine of pregnant mares. Humans provide domesticated horses with food, water and shelter, as well as attention from specialists such as veterinarians and farriers."
7,german shepherd,"The German Shepherd (German: Deutscher Schäferhund, German pronunciation: [ˈʃɛːfɐˌhʊnt]) is a breed of medium to large-sized working dog that originated in Germany. In the English language, the breed's officially recognized name is German Shepherd Dog (sometimes abbreviated as GSD). The breed was officially known as the  Alsatian in Britain until 1977 when its name was changed back to German Shepherd. The German Shepherd is a relatively new breed of dog, with their origin dating to 1899. As part of the Herding Group, German Shepherds are working dogs developed originally for herding sheep. Since that time however, because of their strength, intelligence, trainability, and obedience, German Shepherds around the world are often the preferred breed for many types of work, including disability assistance, search-and-rescue, police and military roles, and acting. The German Shepherd is the second-most registered breed by the American Kennel Club and seventh-most registered breed by The Kennel Club in the United Kingdom."
8,blue whale,"The blue whale (Balaenoptera musculus) is a marine mammal belonging to the baleen whale parvorder, Mysticeti. At up to 29.9 metres (98 ft) in length and with a maximum recorded weight of 173 tonnes (190 short tons), it is the largest animal known to have ever existed.Long and slender, the blue whale's body can be various shades of bluish-grey dorsally and somewhat lighter underneath. There are at least three distinct subspecies: B. m. musculus of the North Atlantic and North Pacific, B. m. intermedia of the Southern Ocean and B. m. brevicauda (also known as the pygmy blue whale) found in the Indian Ocean and South Pacific Ocean. B. m. indica, found in the Indian Ocean, may be another subspecies. As with other baleen whales, its diet consists almost exclusively of small crustaceans known as krill.Blue whales were abundant in nearly all the oceans on Earth until the beginning of the twentieth century. For over a century, they were hunted almost to extinction by whalers until protected by the international community in 1966. A 2002 report estimated there were 5,000 to 12,000 blue whales worldwide, in at least five groups. The IUCN estimates that there are probably between 10,000 and 25,000 blue whales worldwide today. Before whaling, the largest population was in the Antarctic, numbering approximately 239,000 (range 202,000 to 311,000). There remain only much smaller (around 2,000) concentrations in each of the eastern North Pacific, Antarctic, and Indian Ocean groups. There are two more groups in the North Atlantic, and at least two in the Southern Hemisphere. The Eastern North Pacific blue whale population had rebounded by 2014 to nearly its pre-hunting population."
9,siamese cat,"The Siamese cat is one of the first distinctly recognized breeds of Asian cat. Derived from the Wichianmat landrace, one of several varieties of cat native to Thailand (formerly known as Siam), the Siamese became one of the most popular breeds in Europe and North America in the 19th century. The carefully refined modern Siamese is characterized by blue almond-shaped eyes; a triangular head shape; large ears; an elongated, slender, and muscular body; and point colouration. (Aside from the colouration, it bears little resemblance to the original stock, and the more moderate, traditional or ""old-style"" Siamese, with a much rounder head and body, has been re-established by multiple registries as the Thai cat.) The International Cat Association describes the modern Siamese as affectionate, social, intelligent, and playful into adulthood, often enjoying a game of fetch. Siamese tend to seek human interaction and also like companionship from other cats.
The Siamese (sometimes in the traditional form) is among the foundation stock of several other breeds developed by crossbreeding with other cats; some examples are the Oriental Shorthair and Colourpoint Shorthair, developed to expand the range of coat patterns; the long-haired variant most often dubbed the Himalayan; and hair-mutation breeds including the Cornish Rex, Sphynx, Peterbald, and the blue point Siamese cat. The Siamese cat comes in two distinct variations: traditional, with an apple-shaped head and a slightly chubby body; or the modern Siamese, which are very skinny and have a wedge-shaped head."
